house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
2 BHK,Goregaon East,Mumbai,897,2,2,0,Semi-Furnished,134,120000
1 BHK,Powai,Mumbai,490,1,1,0,Semi-Furnished,82,40000
1 BHK,Mundhwa,Pune,550,1,1,0,Unfurnished,22,12000
2 BHK,Hingna,Nagpur,1000,2,2,0,Unfurnished,8,8000
1 BHK,Mira Road,Mumbai,595,1,1,0,Unfurnished,25,15000
1 BHK,Jakkur,Bangalore,600,1,1,0,Unfurnished,27,16000
3 BHK,Chittaranjan Park,New Delhi,1260,3,3,2,Unfurnished,47.66666667,60000
3 BHK,Soami Nagar South,New Delhi,2700,3,3,2,Semi-Furnished,74.11111111,200000
1 BHK,Hadapsar,Pune,650,1,1,0,Unfurnished,17,11000
1 BHK,Kharadi,Pune,495,1,1,0,Unfurnished,48,24000
4 BHK,Indira Nagar,Bangalore,2000,4,3,0,Semi-Furnished,40,80000
3 BHK,Whitefield,Bangalore,1543,3,3,0,Unfurnished,39,60000
1 BHK,Powai,Mumbai,380,1,2,0,Furnished,184,70000
3 BHK,Bandra East,Mumbai,1281,3,3,0,Semi-Furnished,222,290000
4 BHK,Bandra East,Mumbai,2200,4,4,3,Unfurnished,159,350000
4 BHK,Jogeshwari Vikhroli Link Road,Mumbai,2600,4,5,0,Semi-Furnished,92,240000
2 BHK,Hinjewadi,Pune,862,2,2,2,Semi-Furnished,35,30000
3 BHK,Jyoti Nagar East,New Delhi,1080,3,2,0,Semi-Furnished,23,25000
1 BHK,Madanpur Khadar Village,New Delhi,700,1,1,0,Semi-Furnished,19,13000
3 BHK,C V Raman Nagar,Bangalore,1900,3,3,3,Semi-Furnished,37,70000
2 BHK,Baner,Pune,1000,2,2,2,Semi-Furnished,35,35000
3 BHK,Dudulgaon,Pune,819,3,2,2,Unfurnished,24,20000
1 BHK,Mohan Nagar,Nagpur,400,1,1,0,Unfurnished,25,10000
4 BHK,Kharadi,Pune,2500,4,6,3,Semi-Furnished,37,92000
2 BHK,Balagere,Bangalore,1200,2,2,2,Semi-Furnished,16,19000
2 BHK,Manewada,Nagpur,990,2,2,2,Semi-Furnished,11,11000
1 BHK,Wadala West,Mumbai,400,1,2,0,Semi-Furnished,100,40000
2 BHK,Dhanori Road,Pune,750,2,2,2,Semi-Furnished,35,26500
2 BHK,MedaHalli,Bangalore,300,2,2,0,Semi-Furnished,83,25000
1 BHK,Harsha Layout,Bangalore,850,1,1,0,Semi-Furnished,11,9000
3 BHK,Hinjewadi,Pune,1500,3,3,0,Unfurnished,20,30000
4 BHK,Frazer Town,Bangalore,2350,4,3,0,Furnished,38,90000
2 BHK,Loni Kalbhor,Pune,1200,2,2,0,Unfurnished,10,12000
1 BHK,Kirkatwadi,Pune,480,1,1,0,Unfurnished,15,7000
2 BHK,Budigere,Bangalore,1153,2,2,2,Semi-Furnished,29,34000
2 BHK,Chhattarpur,New Delhi,900,2,2,2,Semi-Furnished,23,21000
2 BHK,Dindoshi - Malad East,Mumbai,950,2,2,0,Semi-Furnished,68,65000
5 BHK,Raj nagar,Nagpur,3000,5,4,4,Semi-Furnished,8,25000
2 BHK,Aundh,Pune,980,2,2,0,Unfurnished,30,29000
3 BHK,Wadi,Nagpur,950,3,2,3,Semi-Furnished,9,9000
3 BHK,Ram Das Peth,Nagpur,1300,3,3,3,Furnished,27,35000
2 BHK,Kasavanahalli,Bangalore,1500,2,2,0,Semi-Furnished,27,40000
3 BHK,Adarsh Nagar,Nagpur,1000,3,3,2,Semi-Furnished,25,25000
2 BHK,Marathahalli,Bangalore,1180,2,2,2,Semi-Furnished,32,38000
3 BHK,Hebbal,Bangalore,3000,3,3,2,Furnished,57,170000
2 BHK,Bandra West,Mumbai,950,2,2,0,Furnished,142,140000
2 BHK,Mahipalpur,New Delhi,630,2,1,0,Unfurnished,13,8000
5 BHK,Bavdhan,Pune,3186,5,5,0,Semi-Furnished,44,140000
3 BHK,Sahakara Nagar,Bangalore,1400,3,3,0,Unfurnished,29,40000
2 BHK,Hebbal,Bangalore,1420,2,2,2,Semi-Furnished,25,35000
3 BHK,Pitampura,New Delhi,1200,3,2,0,Furnished,29,35000
3 BHK,Borivali East,Mumbai,1094,3,3,0,Semi-Furnished,112,120000
4 BHK,Hennur,Bangalore,3000,4,5,2,Furnished,67,200000
3 BHK,Andheri West,Mumbai,1500,3,3,0,Semi-Furnished,60,90000
3 BHK,NIBM Road,Pune,1350,3,3,3,Unfurnished,39,52000
2 BHK,Pimple Nilakh,Pune,800,2,2,0,Unfurnished,30,24000
1 BHK,Kalbadevi,Mumbai,315,1,1,0,Furnished,143,45000
3 BHK,Electronic City,Bangalore,2000,3,3,3,Semi-Furnished,13,25000
1 BHK,Manjri Budruk,Pune,630,1,1,0,Unfurnished,12,7500
3 BHK,Balagere,Bangalore,1700,3,3,2,Semi-Furnished,37,63000
1 BHK,Lokhandwala Township Kandivali East,Mumbai,427,1,1,0,Unfurnished,80,34000
1 BHK,Kamptee Road,Nagpur,650,1,1,0,Unfurnished,13,8500
4 BHK,Hulimavu,Bangalore,3560,4,5,5,Furnished,37,130000
2 BHK,Freedom Fighters Enclave,New Delhi,1250,2,2,0,Furnished,28,35000
3 BHK,Sarjapur Road,Bangalore,1200,3,3,2,Furnished,38,45000
1 BHK,Hadapsar,Pune,450,1,1,10,Furnished,56,25000
3 BHK,Begur Road,Bangalore,1631,3,2,2,Semi-Furnished,36,58000
2 BHK,Wanawari,Pune,1200,2,2,0,Unfurnished,22,27000
2 BHK,Mulund East,Mumbai,675,2,2,2,Unfurnished,67,45000
3 BHK,Neeladri Nagar,Bangalore,1845,3,3,3,Semi-Furnished,24,45000
3 BHK,Deonar Chembur,Mumbai,1200,3,3,0,Unfurnished,108,130000
2 BHK,Andheri West,Mumbai,800,2,2,0,Unfurnished,94,75000
